"status","mentioned_name","match_count","matched_people","years","candidate_names","relationships","claim_texts"
"not_found","呂子昌","0","","2018","呂孫福","爸爸","爸爸是8屆議員、總統府國策顧問呂子昌，姊姊是民進黨中執委、立委呂孫綾"
"found","呂玉玲","1","呂玉玲 [ad75b12d-33df-42f4-9e28-2028a685bcc0]","2018 | 2022","陳萬得 | 陳韋曄","老婆 | 母親","老婆是2屆立委呂玉玲 | 母親是國民黨立委呂玉玲"
"not_found","呂邱葉","0","","2018 | 2022","呂林小鳳","婆婆","婆婆是4屆縣議員、八德鄉民代表呂邱葉"
"found","呂孫綾","1","呂孫綾 [347c2237-b5de-4a3e-a8c9-8580d7f1a017]","2018","呂孫福","姊姊","爸爸是8屆議員、總統府國策顧問呂子昌，姊姊是民進黨中執委、立委呂孫綾"
"not_found","宋進財","0","","2018","宋雨蓁 Nikar‧Falong","爸爸","爸爸是6屆議員宋進財"
"not_found","宋萬春","0","","2018 | 2022","宋立彬","爸爸 | 父親","爸爸是前縣議員宋萬春 | 父親是前議員宋萬春"
"not_found","李仁人","0","","2018 | 2022","郭昭巖","媽媽 | 母親","媽媽是5屆議員李仁人 | 母親是5屆議員李仁人"
"ambiguous_same_name","李文正","3","李文正 [537a6557-2ac3-4ddd-8044-bf4da6e8f954] | 李文正 [c2445079-9ffd-48b4-84b5-d1d6fe95199a] | 李文正 [aca716a9-c0f9-4ab6-920a-3fe16a94abef]","2018 | 2022","李啓維","爸爸 | 父親","爸爸是5屆議員李文正 | 父親是5屆議員李文正"
"not_found","李水樹","0","","2018 | 2022","李雅芬","外公 | 祖父","外公是中和里里長李水樹 | 祖父是楠梓區中和里里長李水樹"
"not_found","李本源","0","","2018 | 2022","李宗翰","爸爸 | 父親","爸爸是前後壁鄉鄉長李本源 | 父親是曾任後壁鄉鄉長的李本源"
"not_found","李金璋","0","","2022","李彥秀","父親","父親是2屆台北市議員李金璋，因罹癌交棒"
"not_found","李長生","0","","2018 | 2022","李亞築","爸爸 | 父親","爸爸是6屆議員李長生 | 父親是國民黨前議員李長生"
